filename,focalID,trial,recorder,resident,blackwidow,weight,egg_present,mated,contest_ID,contest_black,contest_weight,contest_mated,structural,gumfooted,bodyshakes,abdomenpulse,contact,time_to_contact,leg_touch,chelicerae_touch,silk_spray,silk_attempt,kerfuffle,retreat,time_to_retreat,left_web,time_to_leave_web,victory,vic_tie,Note
98t5 ,98,5,LP,1,1,0.286,0,1,46,0,0.235,0,15,29,1,15,0,,0,0,0,0,0,0,,0,,0,0,
98t5 ,46,5,LP,0,0,0.235,0,0,98,1,0.286,1,15,29,0,0,0,,0,0,0,0,0,0,,0,,0,0,
98t4 ,151,4,Sharon,0,0,0.25,0,1,98,1,0.357,1,6,26,0,0,0,,0,0,0,0,0,0,,0,,0,0,
98t4 ,98,4,Sharon,1,1,0.357,0,1,151,0,0.25,1,6,26,1,16,0,,0,0,0,0,0,0,,0,,0,0,
98t3,114,3,Cam,0,1,0.272,0,1,98,1,0.27,1,64,37,0,0,1,14,1,0,0,0,0,1,14,1,14,0,2,
98t3,98,3,Cam,1,1,0.27,0,1,114,1,0.272,1,64,37,0,0,1,14,1,0,0,0,0,0,,0,14,1,1,
98t2 ,98,2,LP,1,1,0.26,0,1,84,0,0.36,1,0,43,2,0,0,,0,0,0,0,0,0,,0,,0,0,
98t2 ,84,2,LP,0,0,0.36,0,1,98,1,0.26,1,0,43,0,0,0,,0,0,0,0,0,0,,0,,0,0,
97t5,211,5,Cam,0,1,0.48,0,0,97,1,0.32,1,6,42,6,18,1,540,1,1,0,0,1,0,,0,570,1,1,
97t5,97,5,Cam,1,1,0.32,0,1,211,1,0.48,0,6,42,0,49,1,540,1,1,0,0,1,1,570,1,570,0,2,
97t4,137,4,Cam,0,0,0.11,1,1,97,1,0.28,1,9,27,0,0,1,480,1,0,0,0,0,1,480,0,570,0,2,
97t4,97,4,Cam,1,1,0.28,0,1,137,0,0.11,1,9,27,2,7,1,480,1,0,0,0,0,0,,0,570,1,1,
97t3 ,107,3,Sharon,0,1,0.279,0,0,97,1,0.288,1,10,10,3,11,1,166,1,1,0,0,0,0,,0,,0,0,
97t3 ,97,3,Sharon,1,1,0.288,0,1,107,1,0.279,0,10,10,0,17,1,166,1,1,0,0,0,1,190,0,,0,0,
